2024-09-22 15:48:37.832 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - On start called on cluster service
2024-09-22 15:48:37.961 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - On start called on cluster service
2024-09-22 15:48:38.071 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - On start called on cluster service
2024-09-22 15:48:38.261 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Client session open ClientSession{id=1, responseStreamId=102, responseChannel='aeron:udp?endpoint=localhost:60297', encodedPrincipal=[], responsePublication=null, isClosing=false} on node null
2024-09-22 15:48:38.261 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Client session open ClientSession{id=1, responseStreamId=102, responseChannel='aeron:udp?endpoint=localhost:60297', encodedPrincipal=[], responsePublication=null, isClosing=false} on node null
2024-09-22 15:48:38.261 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Client session open ClientSession{id=1, responseStreamId=102, responseChannel='aeron:udp?endpoint=localhost:60297', encodedPrincipal=[], responsePublication=null, isClosing=false} on node null
2024-09-22 15:48:38.262 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442694
2024-09-22 15:48:38.262 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442694
2024-09-22 15:48:38.262 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442694
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442696
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442696
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442696
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442795
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442795
2024-09-22 15:48:38.263 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442795
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442868
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442868
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442924
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442924
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442868
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442939
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442939
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442950
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442950
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442924
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442984
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442984
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442939
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016443081
2024-09-22 15:48:38.264 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016443081
2024-09-22 15:48:38.265 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016442950
2024-09-22 15:48:38.265 [clustered-service-0-0] INFO  com.bhf.aeroncache.services.cluster.AbstractCacheClusterService - Got create cache message for cache id 1727016443121
